,filename,fold,target,category,esc10,src_file,take
0,['1-100032-A-0.wav'],1,[4],['dog'],[True],[100032],['A']
14,['1-110389-A-0.wav'],1,[4],['dog'],[True],[110389],['A']
24,['1-116765-A-41.wav'],1,[0],['chainsaw'],[True],[116765],['A']
54,['1-17150-A-12.wav'],1,[2],['crackling_fire'],[True],[17150],['A']
55,['1-172649-A-40.wav'],1,[5],['helicopter'],[True],[172649],['A']
56,['1-172649-B-40.wav'],1,[5],['helicopter'],[True],[172649],['B']
57,['1-172649-C-40.wav'],1,[5],['helicopter'],[True],[172649],['C']
58,['1-172649-D-40.wav'],1,[5],['helicopter'],[True],[172649],['D']
59,['1-172649-E-40.wav'],1,[5],['helicopter'],[True],[172649],['E']
60,['1-172649-F-40.wav'],1,[5],['helicopter'],[True],[172649],['F']
62,['1-17367-A-10.wav'],1,[6],['rain'],[True],[17367],['A']
63,['1-17565-A-12.wav'],1,[2],['crackling_fire'],[True],[17565],['A']
65,['1-17742-A-12.wav'],1,[2],['crackling_fire'],[True],[17742],['A']
66,['1-17808-A-12.wav'],1,[2],['crackling_fire'],[True],[17808],['A']
67,['1-17808-B-12.wav'],1,[2],['crackling_fire'],[True],[17808],['B']
72,['1-181071-A-40.wav'],1,[5],['helicopter'],[True],[181071],['A']
73,['1-181071-B-40.wav'],1,[5],['helicopter'],[True],[181071],['B']
78,['1-187207-A-20.wav'],1,[3],['crying_baby'],[True],[187207],['A']
92,['1-19898-A-41.wav'],1,[0],['chainsaw'],[True],[19898],['A']
93,['1-19898-B-41.wav'],1,[0],['chainsaw'],[True],[19898],['B']
94,['1-19898-C-41.wav'],1,[0],['chainsaw'],[True],[19898],['C']
104,['1-211527-A-20.wav'],1,[3],['crying_baby'],[True],[211527],['A']
105,['1-211527-B-20.wav'],1,[3],['crying_baby'],[True],[211527],['B']
106,['1-211527-C-20.wav'],1,[3],['crying_baby'],[True],[211527],['C']
107,['1-21189-A-10.wav'],1,[6],['rain'],[True],[21189],['A']
110,['1-21934-A-38.wav'],1,[1],['clock_tick'],[True],[21934],['A']
111,['1-21935-A-38.wav'],1,[1],['clock_tick'],[True],[21935],['A']
113,['1-22694-A-20.wav'],1,[3],['crying_baby'],[True],[22694],['A']
114,['1-22694-B-20.wav'],1,[3],['crying_baby'],[True],[22694],['B']
136,['1-26143-A-21.wav'],1,[9],['sneezing'],[True],[26143],['A']
140,['1-26222-A-10.wav'],1,[6],['rain'],[True],[26222],['A']
141,['1-26806-A-1.wav'],1,[7],['rooster'],[True],[26806],['A']
146,['1-27724-A-1.wav'],1,[7],['rooster'],[True],[27724],['A']
148,['1-28135-A-11.wav'],1,[8],['sea_waves'],[True],[28135],['A']
149,['1-28135-B-11.wav'],1,[8],['sea_waves'],[True],[28135],['B']
152,['1-29561-A-10.wav'],1,[6],['rain'],[True],[29561],['A']
153,['1-29680-A-21.wav'],1,[9],['sneezing'],[True],[29680],['A']
157,['1-30226-A-0.wav'],1,[4],['dog'],[True],[30226],['A']
158,['1-30344-A-0.wav'],1,[4],['dog'],[True],[30344],['A']
167,['1-31748-A-21.wav'],1,[9],['sneezing'],[True],[31748],['A']
170,['1-32318-A-0.wav'],1,[4],['dog'],[True],[32318],['A']
177,['1-34119-A-1.wav'],1,[7],['rooster'],[True],[34119],['A']
178,['1-34119-B-1.wav'],1,[7],['rooster'],[True],[34119],['B']
182,['1-35687-A-38.wav'],1,[1],['clock_tick'],[True],[35687],['A']
195,['1-39901-A-11.wav'],1,[8],['sea_waves'],[True],[39901],['A']
196,['1-39901-B-11.wav'],1,[8],['sea_waves'],[True],[39901],['B']
