LJ050-0159|The Commission recommends that prompt and favorable consideration be given to this request.|The Commission recommends that prompt and favorable consideration be given to this request.
LJ050-0160|The Commission further recommends that the Secret Service coordinate its planning as closely as possible with all of the Federal agencies from which it receives information.|The Commission further recommends that the Secret Service coordinate its planning as closely as possible with all of the Federal agencies from which it receives information.
LJ050-0161|The Secret Service should not and does not plan to develop its own intelligence gathering facilities to duplicate the existing facilities of other Federal agencies.|The Secret Service should not and does not plan to develop its own intelligence gathering facilities to duplicate the existing facilities of other Federal agencies.
LJ050-0162|In planning its data processing techniques,|In planning its data processing techniques,
LJ050-0163|the Secret Service should attempt to develop a system compatible with those of the agencies from which most of its data will come. Note:|the Secret Service should attempt to develop a system compatible with those of the agencies from which most of its data will come. Note:
LJ050-0164|In evaluating data processing techniques of the Secret Service,|In evaluating data processing techniques of the Secret Service,
LJ050-0165|the Commission had occasion to become informed, to a limited extent, about the data processing techniques of other Federal intelligence and law enforcement agencies.|the Commission had occasion to become informed, to a limited extent, about the data processing techniques of other Federal intelligence and law enforcement agencies.
LJ050-0166|The Commission was struck by the apparent lack of effort, on an interagency basis,|The Commission was struck by the apparent lack of effort, on an interagency basis,
LJ050-0167|to develop coordinated and mutually compatible systems, even where such coordination would not seem inconsistent|to develop coordinated and mutually compatible systems, even where such coordination would not seem inconsistent
LJ050-0168|with the particular purposes of the agency involved. The Commission recognizes that this is a controversial area|with the particular purposes of the agency involved. The Commission recognizes that this is a controversial area
LJ050-0169|and that many strongly held views are advanced in resistance to any suggestion that an effort be made to impose any degree of coordination.|and that many strongly held views are advanced in resistance to any suggestion that an effort be made to impose any degree of coordination.
LJ050-0170|This matter is obviously beyond the jurisdiction of the Commission,|This matter is obviously beyond the jurisdiction of the Commission,
LJ050-0171|but it seems to warrant further study before each agency becomes irrevocably committed to separate action.|but it seems to warrant further study before each agency becomes irrevocably committed to separate action.
LJ050-0172|The Commission, therefore, recommends that the President consider ordering an inquiry into the possibility|The Commission, therefore, recommends that the President consider ordering an inquiry into the possibility
LJ050-0173|that coordination might be achieved to a greater extent than seems now to be contemplated, without interference with the primary mission of each agency involved.|that coordination might be achieved to a greater extent than seems now to be contemplated, without interference with the primary mission of each agency involved.
LJ050-0174|Protective Research participation in advance arrangements.|Protective Research participation in advance arrangements.
LJ050-0175|Since the assassination, Secret Service procedures have been changed to require that a member of PRS accompany each advance survey team|Since the assassination, Secret Service procedures have been changed to require that a member of PRS accompany each advance survey team
LJ050-0176|to establish liaison with local intelligence gathering agencies and to provide for the immediate evaluation of information received from them.|to establish liaison with local intelligence gathering agencies and to provide for the immediate evaluation of information received from them.
LJ050-0177|This PRS agent will also be responsible for establishing an informal local liaison committee|This PRS agent will also be responsible for establishing an informal local liaison committee
LJ050-0178|to make certain that all protective intelligence activities are coordinated.|to make certain that all protective intelligence activities are coordinated.
LJ050-0179|Based on its experience during this period, the Secret Service now recommends that additional personnel be made available to PRS|Based on its experience during this period, the Secret Service now recommends that additional personnel be made available to PRS
LJ050-0180|so that these arrangements can be made permanent without adversely affecting the operations of the Service's field offices.|so that these arrangements can be made permanent without adversely affecting the operations of the Service's field offices.
LJ050-0181|The Commission regards this as a most useful innovation and urges that the practice be continued.|The Commission regards this as a most useful innovation and urges that the practice be continued.
LJ050-0182|Liaison With Local Law Enforcement Agencies|Liaison With Local Law Enforcement Agencies
LJ050-0183|Advice by the Secret Service to local police in metropolitan areas relating to the assistance expected in connection with a Presidential visit|Advice by the Secret Service to local police in metropolitan areas relating to the assistance expected in connection with a Presidential visit
LJ050-0184|has hitherto been handled on an informal basis.|has hitherto been handled on an informal basis.
LJ050-0185|The Service should consider preparing formal explanations of the cooperation anticipated during a Presidential visit to a city,|The Service should consider preparing formal explanations of the cooperation anticipated during a Presidential visit to a city,
LJ050-0186|in formats that can be communicated to each level of local authorities.|in formats that can be communicated to each level of local authorities.
LJ050-0187|Thus, the local chief of police could be given a master plan, prepared for the occasion, of all protective measures to be taken during the visit;|Thus, the local chief of police could be given a master plan, prepared for the occasion, of all protective measures to be taken during the visit;
LJ050-0188|each patrolman might be given a prepared booklet of instructions explaining what is expected of him. The Secret Service has expressed concern|each patrolman might be given a prepared booklet of instructions explaining what is expected of him. The Secret Service has expressed concern
LJ050-0189|that written instructions might come into the hands of local newspapers, to the prejudice of the precautions described.|that written instructions might come into the hands of local newspapers, to the prejudice of the precautions described.
LJ050-0190|However, the instructions must be communicated to the local police in any event and can be leaked to the press whether or not they are in writing.|However, the instructions must be communicated to the local police in any event and can be leaked to the press whether or not they are in writing.
LJ050-0191|More importantly, the lack of carefully prepared and carefully transmitted instructions for typical visits to cities|More importantly, the lack of carefully prepared and carefully transmitted instructions for typical visits to cities
LJ050-0192|can lead to lapses in protection, such as the confusion in Dallas about whether members of the public were permitted on overpasses.|can lead to lapses in protection, such as the confusion in Dallas about whether members of the public were permitted on overpasses.
LJ050-0193|Such instructions will not fit all circumstances, of course,|Such instructions will not fit all circumstances, of course,
LJ050-0194|and should not be relied upon to the detriment of the imaginative application of judgment in special cases.|and should not be relied upon to the detriment of the imaginative application of judgment in special cases.
LJ050-0195|Inspection of Buildings|Inspection of Buildings
LJ050-0196|Since the assassination of President Kennedy, the Secret Service has been experimenting with new techniques in the inspection of buildings along a motorcade route.|Since the assassination of President Kennedy, the Secret Service has been experimenting with new techniques in the inspection of buildings along a motorcade route.
LJ050-0197|According to Secretary Dillon,|According to Secretary Dillon,
LJ050-0198|the studies indicate that there is some utility in attempting to designate certain buildings as involving a higher risk than others.|the studies indicate that there is some utility in attempting to designate certain buildings as involving a higher risk than others.
LJ050-0199|The Commission strongly encourages these efforts to improve protection along a motorcade route.|The Commission strongly encourages these efforts to improve protection along a motorcade route.
LJ050-0200|The Secret Service should utilize the personnel of other Federal law enforcement offices|The Secret Service should utilize the personnel of other Federal law enforcement offices
LJ050-0201|in the locality to assure adequate manpower for this task, as it is now doing.|in the locality to assure adequate manpower for this task, as it is now doing.
LJ050-0202|Lack of adequate resources is an unacceptable excuse for failing to improve advance precautions|Lack of adequate resources is an unacceptable excuse for failing to improve advance precautions
LJ050-0203|in this crucial area of Presidential protection.|in this crucial area of Presidential protection.
LJ050-0204|Secret Service Personnel and Facilities|Secret Service Personnel and Facilities
LJ050-0205|Testimony and other evidence before the Commission|Testimony and other evidence before the Commission
LJ050-0206|suggest that the Secret Service is trying to accomplish its job with too few people and without adequate modern equipment.|suggest that the Secret Service is trying to accomplish its job with too few people and without adequate modern equipment.
LJ050-0207|Although Chief Rowley does not complain about the pay scale for Secret Service agents,|Although Chief Rowley does not complain about the pay scale for Secret Service agents,
LJ050-0208|salaries are below those of the FBI and leading municipal police forces.|salaries are below those of the FBI and leading municipal police forces.
LJ050-0209|The assistant to the Director of the FBI testified that|The assistant to the Director of the FBI testified that
LJ050-0210|the caseload of each FBI agent averaged 20 to 25, and he felt that this was high.|the caseload of each FBI agent averaged twenty to twenty-five, and he felt that this was high.
LJ050-0211|Chief Rowley testified that the present workload of each Secret Service agent averages 110.1 cases.|Chief Rowley testified that the present workload of each Secret Service agent averages one hundred ten point one cases.
LJ050-0212|While these statistics relate to the activities of Secret Service agents stationed in field offices and not the White House detail,|While these statistics relate to the activities of Secret Service agents stationed in field offices and not the White House detail,
LJ050-0213|field agents supplement those on the detail, particularly when the President is traveling.|field agents supplement those on the detail, particularly when the President is traveling.
LJ050-0214|Although the Commission does not know whether the cases involved are entirely comparable,|Although the Commission does not know whether the cases involved are entirely comparable,
LJ050-0215|these figures suggest that the agents of the Secret Service are substantially overworked.|these figures suggest that the agents of the Secret Service are substantially overworked.
LJ050-0216|In its budget request for the fiscal year beginning July 1, 1964,|In its budget request for the fiscal year beginning July one, nineteen sixty-four,
LJ050-0217|the Secret Service sought funds for 25 new positions, primarily in field offices. This increase has been approved by the Congress.|the Secret Service sought funds for twenty-five new positions, primarily in field offices. This increase has been approved by the Congress.
LJ050-0218|Chief Rowley explained that this would not provide enough additional manpower to take all the measures which he considers required.|Chief Rowley explained that this would not provide enough additional manpower to take all the measures which he considers required.
LJ050-0219|However, the 1964 to 65 budget request was submitted in November 1963|However, the nineteen sixty-four to sixty-five budget request was submitted in November nineteen sixty-three
LJ050-0220|and requests for additional personnel were not made because of the studies then being conducted.|and requests for additional personnel were not made because of the studies then being conducted.
LJ050-0221|The Secret Service has now presented its recommendations to the Bureau of the Budget. The plan proposed by the Service|The Secret Service has now presented its recommendations to the Bureau of the Budget. The plan proposed by the Service
LJ050-0222|would take approximately 20 months to implement and require expenditures of approximately $3,000,000 during that period.|would take approximately twenty months to implement and require expenditures of approximately three million dollars during that period.
LJ050-0223|The plan provides for an additional 205 agents for the Secret Service. Seventeen of this number are proposed for the Protective Research Section;|The plan provides for an additional two hundred five agents for the Secret Service. Seventeen of this number are proposed for the Protective Research Section;
LJ050-0224|145 are proposed for the field offices to handle the increased volume of security investigations|one hundred forty-five are proposed for the field offices to handle the increased volume of security investigations
LJ050-0225|and be available to protect the President or Vice President when they travel;|and be available to protect the President or Vice President when they travel;
LJ050-0226|18 agents are proposed for a rotating pool which will go through an intensive training cycle and also be available to supplement the White House detail|eighteen agents are proposed for a rotating pool which will go through an intensive training cycle and also be available to supplement the White House detail
LJ050-0227|in case of unexpected need; and 25 additional agents are recommended to provide the Vice President full protection.|in case of unexpected need; and twenty-five additional agents are recommended to provide the Vice President full protection.
LJ050-0228|The Commission urges that the Bureau of the Budget review these recommendations with the Secret Service and authorize a request for the necessary supplemental appropriation,|The Commission urges that the Bureau of the Budget review these recommendations with the Secret Service and authorize a request for the necessary supplemental appropriation,
LJ050-0229|as soon as it can be justified. The Congress has often stressed that it will support any reasonable request for funds for the protection of the President.|as soon as it can be justified. The Congress has often stressed that it will support any reasonable request for funds for the protection of the President.
LJ050-0230|Manpower and Technical Assistance From Other Agencies|Manpower and Technical Assistance From Other Agencies
LJ050-0231|Before the assassination the Secret Service infrequently requested other Federal law enforcement agencies to provide personnel|Before the assassination the Secret Service infrequently requested other Federal law enforcement agencies to provide personnel
LJ050-0232|to assist in its protection functions.|to assist in its protection functions.
LJ050-0233|Since the assassination, the Service has experimented with the use of agents borrowed for short periods from such agencies.|Since the assassination, the Service has experimented with the use of agents borrowed for short periods from such agencies.
LJ050-0234|It has used other Treasury law enforcement agents on special experiments in building and route surveys in places to which the President frequently travels.|It has used other Treasury law enforcement agents on special experiments in building and route surveys in places to which the President frequently travels.
LJ050-0235|It has also used other Federal law enforcement agents during Presidential visits to cities in which such agents are stationed.|It has also used other Federal law enforcement agents during Presidential visits to cities in which such agents are stationed.
LJ050-0236|Thus, in the 4 months following the assassination,|Thus, in the four months following the assassination,
LJ050-0237|the FBI, on 16 separate occasions, supplied a total of 139 agents to assist in protection work during a Presidential visit,|the FBI, on sixteen separate occasions, supplied a total of one hundred thirty-nine agents to assist in protection work during a Presidential visit,
LJ050-0238|which represents a departure from its prior practice.|which represents a departure from its prior practice.
LJ050-0239|From February 11 through June 30, 1964,|From February eleven through June thirty, nineteen sixty-four,
LJ050-0240|the Service had the advantage of 9,500 hours of work by other enforcement agencies.|the Service had the advantage of nine thousand, five hundred hours of work by other enforcement agencies.
LJ050-0241|The FBI has indicated that it is willing to continue to make such assistance available,|The FBI has indicated that it is willing to continue to make such assistance available,
LJ050-0242|even though it agrees with the Secret Service that it is preferable for the Service to have enough agents to handle all protective demands.|even though it agrees with the Secret Service that it is preferable for the Service to have enough agents to handle all protective demands.
LJ050-0243|The Commission endorses these efforts to supplement the Service's own personnel by obtaining, for short periods of time,|The Commission endorses these efforts to supplement the Service's own personnel by obtaining, for short periods of time,
LJ050-0244|the assistance of trained Federal law enforcement officers.|the assistance of trained Federal law enforcement officers.
LJ050-0245|In view of the ever-increasing mobility of American Presidents, it seems unlikely that the Service could or should increase its own staff to a size|In view of the ever-increasing mobility of American Presidents, it seems unlikely that the Service could or should increase its own staff to a size
LJ050-0246|which would permit it to provide adequate protective manpower for all situations.|which would permit it to provide adequate protective manpower for all situations.
LJ050-0247|The Commission recommends that the agencies involved determine how much periodic assistance they can provide, and that each such agency|The Commission recommends that the agencies involved determine how much periodic assistance they can provide, and that each such agency
LJ050-0248|and the Secret Service enter into a formal agreement defining such arrangements.|and the Secret Service enter into a formal agreement defining such arrangements.
LJ050-0249|It may eventually be desirable to codify the practice in an Executive order.|It may eventually be desirable to codify the practice in an Executive order.
LJ050-0250|The Secret Service will be better able to plan its own long-range personnel requirements if it knows with reasonable certainty|The Secret Service will be better able to plan its own long-range personnel requirements if it knows with reasonable certainty
LJ050-0251|the amount of assistance that it can expect from other agencies.|the amount of assistance that it can expect from other agencies.
LJ050-0252|The occasional use of personnel from other Federal agencies to assist in protecting the President has a further advantage. It symbolizes the reality|The occasional use of personnel from other Federal agencies to assist in protecting the President has a further advantage. It symbolizes the reality
LJ050-0253|that the job of protecting the President has not been and cannot be exclusively the responsibility of the Secret Service.|that the job of protecting the President has not been and cannot be exclusively the responsibility of the Secret Service.
LJ050-0254|The Secret Service in the past has sometimes guarded its right to be acknowledged as the sole protector of the Chief Executive.|The Secret Service in the past has sometimes guarded its right to be acknowledged as the sole protector of the Chief Executive.
LJ050-0255|This no longer appears to be the case.|This no longer appears to be the case.
LJ050-0256|Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.|Protecting the President is a difficult and complex task which requires full use of the best resources of many parts of our Government.
LJ050-0257|Recognition that the responsibility must be shared increases the likelihood that it will be met.|Recognition that the responsibility must be shared increases the likelihood that it will be met.
LJ050-0258|Much of the Secret Service work requires the development and use of highly sophisticated equipment,|Much of the Secret Service work requires the development and use of highly sophisticated equipment,
