Epoch: 1 - train loss: 8.70e-03 - valid loss: 1.07e-02, valid pesq: 1.87, valid stoi: 8.26e-01
Epoch: 2 - train loss: 6.19e-03 - valid loss: 9.82e-03, valid pesq: 1.92, valid stoi: 8.31e-01
Epoch: 3 - train loss: 5.52e-03 - valid loss: 9.21e-03, valid pesq: 1.94, valid stoi: 8.34e-01
Epoch: 4 - train loss: 5.09e-03 - valid loss: 8.49e-03, valid pesq: 1.96, valid stoi: 8.35e-01
Epoch: 5 - train loss: 4.81e-03 - valid loss: 7.73e-03, valid pesq: 2.01, valid stoi: 8.38e-01
Epoch: 6 - train loss: 4.60e-03 - valid loss: 7.73e-03, valid pesq: 2.03, valid stoi: 8.39e-01
Epoch: 7 - train loss: 4.38e-03 - valid loss: 7.02e-03, valid pesq: 2.05, valid stoi: 8.42e-01
Epoch: 8 - train loss: 4.25e-03 - valid loss: 7.31e-03, valid pesq: 2.06, valid stoi: 8.42e-01
Epoch: 9 - train loss: 4.10e-03 - valid loss: 6.53e-03, valid pesq: 2.08, valid stoi: 8.44e-01
Epoch: 10 - train loss: 4.03e-03 - valid loss: 7.04e-03, valid pesq: 2.08, valid stoi: 8.44e-01
Epoch: 11 - train loss: 3.85e-03 - valid loss: 6.68e-03, valid pesq: 2.10, valid stoi: 8.45e-01
Epoch: 12 - train loss: 3.85e-03 - valid loss: 6.94e-03, valid pesq: 2.09, valid stoi: 8.45e-01
Epoch: 13 - train loss: 3.72e-03 - valid loss: 6.52e-03, valid pesq: 2.12, valid stoi: 8.46e-01
Epoch: 14 - train loss: 3.69e-03 - valid loss: 6.65e-03, valid pesq: 2.11, valid stoi: 8.46e-01
Epoch: 15 - train loss: 3.56e-03 - valid loss: 6.84e-03, valid pesq: 2.10, valid stoi: 8.47e-01
Epoch: 16 - train loss: 3.52e-03 - valid loss: 5.86e-03, valid pesq: 2.11, valid stoi: 8.48e-01
Epoch: 17 - train loss: 3.45e-03 - valid loss: 6.79e-03, valid pesq: 2.11, valid stoi: 8.48e-01
Epoch: 18 - train loss: 3.45e-03 - valid loss: 6.65e-03, valid pesq: 2.14, valid stoi: 8.47e-01
Epoch: 19 - train loss: 3.34e-03 - valid loss: 6.21e-03, valid pesq: 2.16, valid stoi: 8.48e-01
Epoch: 20 - train loss: 3.31e-03 - valid loss: 6.88e-03, valid pesq: 2.12, valid stoi: 8.48e-01
Epoch: 21 - train loss: 3.23e-03 - valid loss: 6.12e-03, valid pesq: 2.13, valid stoi: 8.49e-01
Epoch: 22 - train loss: 3.24e-03 - valid loss: 6.86e-03, valid pesq: 2.16, valid stoi: 8.48e-01
Epoch: 23 - train loss: 3.13e-03 - valid loss: 6.71e-03, valid pesq: 2.14, valid stoi: 8.48e-01
Epoch: 24 - train loss: 3.18e-03 - valid loss: 6.41e-03, valid pesq: 2.16, valid stoi: 8.49e-01
Epoch: 25 - train loss: 3.07e-03 - valid loss: 6.10e-03, valid pesq: 2.16, valid stoi: 8.50e-01
Epoch: 26 - train loss: 3.05e-03 - valid loss: 5.59e-03, valid pesq: 2.20, valid stoi: 8.50e-01
Epoch: 27 - train loss: 3.04e-03 - valid loss: 6.01e-03, valid pesq: 2.17, valid stoi: 8.50e-01
Epoch: 28 - train loss: 3.10e-03 - valid loss: 5.64e-03, valid pesq: 2.21, valid stoi: 8.51e-01
Epoch: 29 - train loss: 2.92e-03 - valid loss: 5.35e-03, valid pesq: 2.18, valid stoi: 8.51e-01
Epoch: 30 - train loss: 2.98e-03 - valid loss: 5.69e-03, valid pesq: 2.18, valid stoi: 8.50e-01
Epoch: 31 - train loss: 2.97e-03 - valid loss: 6.03e-03, valid pesq: 2.20, valid stoi: 8.50e-01
Epoch: 32 - train loss: 2.84e-03 - valid loss: 5.62e-03, valid pesq: 2.18, valid stoi: 8.51e-01
Epoch: 33 - train loss: 2.92e-03 - valid loss: 5.64e-03, valid pesq: 2.22, valid stoi: 8.51e-01
Epoch: 34 - train loss: 2.81e-03 - valid loss: 6.15e-03, valid pesq: 2.15, valid stoi: 8.50e-01
Epoch: 35 - train loss: 2.80e-03 - valid loss: 5.41e-03, valid pesq: 2.20, valid stoi: 8.51e-01
Epoch: 36 - train loss: 2.80e-03 - valid loss: 5.53e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 37 - train loss: 2.85e-03 - valid loss: 5.58e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 38 - train loss: 2.72e-03 - valid loss: 5.57e-03, valid pesq: 2.21, valid stoi: 8.52e-01
Epoch: 39 - train loss: 2.81e-03 - valid loss: 5.58e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 40 - train loss: 2.69e-03 - valid loss: 6.28e-03, valid pesq: 2.19, valid stoi: 8.51e-01
Epoch: 41 - train loss: 2.69e-03 - valid loss: 5.68e-03, valid pesq: 2.22, valid stoi: 8.51e-01
Epoch: 42 - train loss: 2.69e-03 - valid loss: 5.49e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 43 - train loss: 2.70e-03 - valid loss: 5.36e-03, valid pesq: 2.21, valid stoi: 8.52e-01
Epoch: 44 - train loss: 2.66e-03 - valid loss: 5.30e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 45 - train loss: 2.61e-03 - valid loss: 5.17e-03, valid pesq: 2.25, valid stoi: 8.52e-01
Epoch: 46 - train loss: 2.62e-03 - valid loss: 5.46e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 47 - train loss: 2.59e-03 - valid loss: 5.51e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 48 - train loss: 2.57e-03 - valid loss: 5.52e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 49 - train loss: 2.56e-03 - valid loss: 5.40e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 50 - train loss: 2.54e-03 - valid loss: 5.62e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 51 - train loss: 2.54e-03 - valid loss: 5.28e-03, valid pesq: 2.23, valid stoi: 8.53e-01
Epoch: 52 - train loss: 2.52e-03 - valid loss: 5.49e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 53 - train loss: 2.51e-03 - valid loss: 5.62e-03, valid pesq: 2.22, valid stoi: 8.52e-01
Epoch: 54 - train loss: 2.63e-03 - valid loss: 5.23e-03, valid pesq: 2.23, valid stoi: 8.53e-01
Epoch: 55 - train loss: 2.46e-03 - valid loss: 5.23e-03, valid pesq: 2.23, valid stoi: 8.53e-01
Epoch: 56 - train loss: 2.46e-03 - valid loss: 5.42e-03, valid pesq: 2.23, valid stoi: 8.52e-01
Epoch: 57 - train loss: 2.48e-03 - valid loss: 5.15e-03, valid pesq: 2.24, valid stoi: 8.54e-01
Epoch: 58 - train loss: 2.48e-03 - valid loss: 5.50e-03, valid pesq: 2.25, valid stoi: 8.52e-01
Epoch: 59 - train loss: 2.43e-03 - valid loss: 5.50e-03, valid pesq: 2.24, valid stoi: 8.52e-01
Epoch: 60 - train loss: 2.42e-03 - valid loss: 5.35e-03, valid pesq: 2.25, valid stoi: 8.53e-01
Epoch: 61 - train loss: 2.41e-03 - valid loss: 5.06e-03, valid pesq: 2.25, valid stoi: 8.54e-01
