ID, duration, wav, wav_format, wav_opts, spk_id, spk_id_format, spk_id_opts, ali, ali_format, ali_opts, phn, phn_format, phn_opts
spk1_snt1.wav,2.87,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt1, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt1.pkl,pkl, ,dh ax cl ch ay l vcl d ao l m ow s cl t hh er cl t sil dh ax s m ao l vcl d ao vcl g,string, 
spk1_snt2.wav,3.15,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt2, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt2.pkl,pkl, ,vcl d r aa cl p dh ax cl t uw sil w eh n y uw ae vcl d dh ax f ih vcl g y er z,string, 
spk1_snt3.wav,2.72,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt3, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt3.pkl,pkl, ,ae cl t dh ae cl t hh ay l eh v ax l dh iy eh r ih z cl p y uh r,string, 
spk1_snt4.wav,2.53,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt4, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt4.pkl,pkl, ,ey th ih n s cl t r ay cl p r ah n z vcl d aw n dh ax m ih vcl d ax l,string, 
spk1_snt5.wav,2.6,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt5, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt5.pkl,pkl, ,s ah n vcl d ey ih z dh ax vcl b eh s cl t cl p aa r dx ax v dh ax w iy cl k,string, 
spk1_snt6.wav,2.29,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt6, wav, ,spk1,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk1_snt6.pkl,pkl, ,dh ax cl p eh n s el z hh ae v ao l vcl b ih n y uw z vcl d,string, 
spk2_snt1.wav,2.01,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt1, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt1.pkl,pkl, ,w iy er sh ao r dh ax dx w ah n w ao r ih z ih n ah f,string, 
spk2_snt2.wav,1.76,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt2, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt2.pkl,pkl, ,w ah cl t vcl jh oy dh eh r ih z ih n l ih v ih ng,string, 
spk2_snt3.wav,1.88,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt3, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt3.pkl,pkl, ,t eh r ah th ih n sh iy cl t f er m dh iy y eh l ow cl p ae vcl d,string, 
spk2_snt4.wav,2.04,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt4, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt4.pkl,pkl, ,m eh n vcl d dh ax cl k ow cl t vcl b ih f ao r y uw vcl g ow aw cl t,string, 
spk2_snt5.wav,1.98,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt5, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt5.pkl,pkl, ,vcl jh ah m cl p dh ax f eh n s ae n hh er iy ah cl p dh ax vcl b ae ng cl k,string, 
spk2_snt6.wav,1.8,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt6, wav, ,spk2,string, ,/home/mirco/speechbrain/samples/audio_samples/nn_training_samples//spk2_snt6.pkl,pkl, ,k ae n vcl d cl p eh r z l ae cl k f uh l f l ey v er,string, 
